HR+D1039_1:101,
187.836,1.69
188.309,1.69
188.782,1.69
189.255,2.69
189.728,-9.31
190.201,-14.31
190.674,-1.31
191.147,-7.31
191.619,-3.31
192.092,-10.31
192.565,-2.31
193.038,-4.31
193.511,-7.31
193.984,3.69
194.456,8.69
194.929,11.69
195.402,21.69
195.874,9.69
196.347,49.69
196.82,28.69
197.292,26.69
197.765,32.69
198.237,43.69
198.71,34.69
199.182,41.69
199.655,38.69
200.127,36.69
200.6,62.69
201.072,75.69
201.544,39.69
202.017,64.69
202.489,51.69
202.961,57.69
203.433,63.69
203.906,63.69
204.378,84.69
204.85,72.69
205.322,78.69
205.794,70.69
206.266,53.69
206.739,74.69
207.211,95.69
207.683,87.69
208.155,85.69
208.627,77.69
209.099,91.69
209.57,64.69
210.042,75.69
210.514,101.69
210.986,83.69
211.458,72.69
211.93,78.69
212.402,89.69
212.873,71.69
213.345,76.69
213.817,81.69
214.288,67.69
214.76,65.69
215.232,90.69
215.703,82.69
216.175,85.69
216.646,87.69
217.118,85.69
217.589,95.69
218.061,78.69
218.532,92.69
219.004,70.69
219.475,79.69
219.946,71.69
220.418,63.69
220.889,91.69
221.36,65.69
221.832,75.69
222.303,83.69
222.774,61.69
223.245,59.69
223.717,82.69
224.188,80.69
224.659,70.69
225.13,79.69
225.601,59.69
226.072,89.69
226.543,76.69
227.014,73.69
227.485,62.69
227.956,74.69
228.427,77.69
228.898,81.69
229.369,87.69
229.839,75.69
230.31,58.69
230.781,60.69
231.252,71.69
231.722,63.69
232.193,80.69
232.664,70.69
233.135,69.69
233.605,89.69
234.076,80.69
234.546,87.69
235.017,83.69
235.487,75.69
235.958,69.69
236.428,66.69
236.899,85.69
237.369,77.69
237.84,87.69
238.31,90.69
238.78,89.69
239.251,61.69
239.721,75.69
240.191,80.69
240.662,85.69
241.132,81.69
241.602,82.69
242.072,71.69
242.542,72.69
243.013,88.69
243.483,75.69
243.953,75.69
244.423,86.69
244.893,90.69
245.363,79.69
245.833,82.69
246.303,85.69
246.773,83.69
247.243,76.69
247.712,87.69
248.182,73.69
248.652,91.69
249.122,79.69
249.592,84.69
250.061,82.69
250.531,80.69
251.001,73.69
251.471,85.69
251.94,83.69
252.41,87.69
252.879,74.69
253.349,83.69
253.818,60.69
254.288,82.69
254.757,79.69
255.227,88.69
255.696,80.69
