Wavelength (nm),Intensity
242.0456,2
251.6789,3
253.4709,3
256.2087,5
289.1612,8
294.2893,70
297.905,30
303.3508,15
309.3402,15
324.3689,7
329.364,8
330.723,7
335.0924,8
337.6436,8
338.8531,8
347.6747,25
347.8232,7
349.1244,15
349.1536,30
350.9778,25
351.4388,25
354.5596,25
354.5845,25
355.9508,30
356.103,30
357.6616,25
358.1608,8
358.2355,15
358.8441,25
362.2138,8
363.9833,7
371.8206,12
372.9309,25
373.7889,15
376.527,50
376.6119,15
377.0369,1
377.052,7
378.084,8
380.3172,8
380.9456,15
385.0581,25
386.8528,12
392.5719,12
392.8623,15
393.2547,8
394.6097,25
394.8979,1
397.9356,7
399.4792,12
401.3857,15
403.3809,15
403.546,7
404.2894,50
404.4418,1
405.2921,30
407.2005,70
407.2385,25
407.6628,8
407.9574,12
408.2387,8
410.3912,50
413.1724,100
415.6086,12
415.859,11
416.418,1
417.9297,12
418.1884,1
419.0713,3
419.1029,1
419.8317,6
420.0674,11
421.8665,8
422.2637,8
422.6988,8
422.8158,30
423.722,30
425.1185,1
425.9362,6
426.6286,3
426.6527,25
427.2169,4
427.7528,200
428.2898,7
430.0101,3
430.065,8
430.9239,25
433.12,70
433.203,15
433.3561,3
433.5338,1
434.5168,1
434.8064,250
435.2205,15
436.2066,8
436.7832,15
437.0753,70
437.1329,25
437.5954,15
437.9667,50
438.5057,15
440.0097,25
440.0986,70
442.6001,130
443.0189,50
443.0996,15
443.3838,15
443.9461,7
444.8879,12
447.4759,30
448.1811,70
451.0733,3
452.2323,1
453.0552,7
454.5052,130
456.4405,7
457.935,130
458.9898,130
460.9567,200
463.7233,12
465.7901,130
472.1591,7
472.6868,200
473.2053,15
473.5906,100
476.4865,250
480.602,200
484.781,50
486.591,15
487.9864,250
488.9042,25
490.4752,7
493.3209,12
496.508,70
500.9334,15
501.7163,25
506.2037,25
509.0495,7
514.1783,30
514.5308,25
516.5773,8
518.7746,1
521.6814,7
549.5874,1
555.8702,1
560.6733,1
565.0704,1
588.8584,1
591.2085,1
603.2127,2
604.3223,1
605.9372,1
611.4923,30
617.2278,50
624.312,8
638.4717,1
641.6307,2
648.3082,8
663.8221,8
663.974,7
664.3698,15
666.6359,8
667.7282,3
668.4293,12
675.2834,4
686.1269,7
687.1289,4
693.7664,1
696.5431,300
703.0251,4
706.7218,300
706.8736,3
710.7478,1
712.582,1
714.7042,30
720.698,2
727.2936,60
731.1716,1
731.6005,1
735.3293,2
737.2118,6
738.0426,7
738.398,300
739.298,1
743.5368,1
750.3869,600
751.4652,400
763.5106,700
772.3761,400
772.4207,300
794.8176,600
800.6157,600
801.4786,700
810.3693,600
811.5311,1000
826.4522,300
839.227,1
840.821,400
842.4648,600
852.1442,400
866.7944,130
877.186,7
884.991,5
907.5394,1
912.2967,1000
919.4638,15
922.4499,400
929.1531,11
935.422,50
965.7786,700
978.4503,130
1005.206,5
1033.272,1
1046.718,30
1047.005,50
1050.65,5
1067.357,6
1068.303,2
1073.387,1
1075.916,1
1081.29,2
1110.646,1
